p_QNLEACHgl,gridID,1 Irrigated,2 Rainfed
1 I00261,I00261,22.6,-23.75
2 I00270,I00270,4.06,-14.56
3 I00271,I00271,19.68,-23.83
4 I00315,I00315,6.76,-5.07
5 I00324,I00324,2.26,-23.18
6 I00325,I00325,9.52,-10.16
7 I00368,I00368,7.26,-4.84
8 I00369,I00369,2.98,-3.78
9 I00371,I00371,7.91,-5.22
10 I00377,I00377,9.71,-4.9
11 I00378,I00378,10.19,-4.92
12 I00381,I00381,-8.29,0.24
13 I00417,I00417,8.07,-4.94
14 I00418,I00418,8.87,-4.98
15 I00419,I00419,9.33,-5.04
16 I00420,I00420,7.89,-4.84
17 I00421,I00421,9.69,-5.1
18 I00422,I00422,8.03,-24.94
19 I00423,I00423,0.75,-21.09
20 I00424,I00424,8.34,-25.03
21 I00425,I00425,8.36,-24.98
22 I00426,I00426,10.35,-4.8
23 I00427,I00427,11.81,-5.06
24 I00430,I00430,16.96,-10.86
25 I00478,I00478,6.4,-5.26
26 I00479,I00479,6.8,-4.72
27 I00480,I00480,7.87,-4.78
28 I00481,I00481,8.56,-4.97
29 I00482,I00482,7.93,-5.07
30 I00483,I00483,8.2,-4.93
31 I00484,I00484,-0.28,-26.8
32 I00485,I00485,9.29,-4.85
33 I00486,I00486,4.49,-23.75
34 I00488,I00488,13.39,-8.23
35 I00489,I00489,10.63,-5.13
36 I00536,I00536,7.98,-5.08
37 I00538,I00538,8.61,-5.06
38 I00539,I00539,6.83,-4.8
39 I00540,I00540,8.01,-4.87
40 I00541,I00541,8.76,-5.02
41 I00542,I00542,9.79,-4.99
42 I00545,I00545,10.49,-5.14
43 I00546,I00546,9.46,-4.89
44 I00587,I00587,9.99,-4.74
45 I00588,I00588,7.47,-4.86
46 I00589,I00589,8.26,-4.94
47 I00590,I00590,9.46,-5.18
48 I00591,I00591,7.18,-4.61
49 I00635,I00635,8.53,-4.97
50 I00636,I00636,8.54,-4.96
51 I00679,I00679,12.08,-5.75
52 I00680,I00680,6.93,-4.28
53 I00732,I00732,12.29,-5.51
54 I00756,I00756,4.23,-46.61
55 I00808,I00808,-0.97,-18.19
56 I00809,I00809,1.56,-14.8
57 I00810,I00810,-5.12,-12.18
58 I00811,I00811,-1.31,-44.66
59 I00812,I00812,-1.26,-10.27
60 I00813,I00813,-1.99,-17.35
61 I00814,I00814,-1.58,-10.31
62 I00815,I00815,-0.94,-10.99
63 I00816,I00816,4.41,-47.35
64 I00863,I00863,-4.13,-7.75
65 I00864,I00864,-4.37,-10.76
66 I00865,I00865,-2.47,-14.81
67 I00867,I00867,-3.06,-8.74
68 I00868,I00868,-1.82,-17.19
69 I00869,I00869,-1.7,-17.35
70 I00870,I00870,-4.87,-7.61
71 I00871,I00871,1.94,-15.6
72 I00872,I00872,3.29,-15.58
73 I00873,I00873,-1.34,-17.36
74 I00874,I00874,0.33,-24.89
75 I00875,I00875,0.17,-24.88
76 I00913,I00913,-3.93,-45.01
77 I00914,I00914,8.73,-17.28
78 I00915,I00915,5.53,-44.47
79 I00916,I00916,7.01,-12.06
80 I00920,I00920,1.56,-17.03
81 I00921,I00921,-2.99,-8.28
82 I00924,I00924,-4.01,-13.34
83 I00926,I00926,-1.81,-17.53
84 I00927,I00927,-3.6,-14.12
85 I00928,I00928,-2.63,-10.27
86 I00929,I00929,-2.52,-11.69
87 I00930,I00930,3.34,-24.62
88 I00931,I00931,1.7,-24.92
89 I00932,I00932,-5.57,-17.47
90 I00967,I00967,7.3,-15.27
91 I00969,I00969,6.94,-15.92
92 I00971,I00971,8.58,-45.34
93 I00972,I00972,6.6,-17.18
94 I00973,I00973,0.71,-12.34
95 I00974,I00974,4.93,-18.2
96 I00976,I00976,0.9,-14.76
97 I00977,I00977,3.31,-18.56
98 I00979,I00979,-6.18,-14.79
99 I00980,I00980,-1.09,-18.94
100 I00981,I00981,-3.88,-18.07
101 I00983,I00983,-5.55,-17.35
102 I00984,I00984,-2.65,-18.75
103 I00985,I00985,-2.18,-10.59
104 I00986,I00986,-7.87,-7.36
105 I00987,I00987,-6.21,-10.8
106 I01027,I01027,-0.37,-45.58
107 I01029,I01029,4.4,-7.75
108 I01030,I01030,6.37,-14.82
109 I01031,I01031,-1.03,-10.37
110 I01032,I01032,5.62,-17.14
111 I01033,I01033,4.11,-9.78
112 I01034,I01034,1.14,-11.47
113 I01035,I01035,-3.31,-9.09
114 I01036,I01036,4.66,-10.72
115 I01037,I01037,-1.49,-10.82
116 I01038,I01038,-5.49,-15.77
117 I01039,I01039,0.11,-15.38
118 I01040,I01040,-6.1,-17.16
119 I01041,I01041,-7.12,-17.23
120 I01042,I01042,-8.19,-13.93
121 I01043,I01043,-8.49,-9.55
122 I01044,I01044,-6.86,-15.68
123 I01045,I01045,-7.24,-9.22
124 I01046,I01046,-7.17,-9.37
125 I01047,I01047,-7.09,-9.69
126 I01094,I01094,5.28,-44.42
127 I01095,I01095,4.11,-44.15
128 I01096,I01096,13.93,-15.04
129 I01097,I01097,4.23,-12.1
130 I01098,I01098,7.73,-16.64
131 I01099,I01099,3.53,-12.61
132 I01100,I01100,-3.14,-14.43
133 I01101,I01101,-3.1,-15.38
134 I01102,I01102,11.16,-25.07
135 I01103,I01103,-3.29,-13.87
136 I01104,I01104,-4.12,-15.39
137 I01105,I01105,-4.65,-9.46
138 I01106,I01106,-8.72,-15.54
139 I01108,I01108,-9.23,-42.81
140 I01109,I01109,-8.43,-14.85
141 I01156,I01156,1.32,-44.39
142 I01158,I01158,4.95,-44.16
143 I01159,I01159,4.7,-16.58
144 I01160,I01160,5.43,-17.47
145 I01161,I01161,8.13,-17.12
146 I01162,I01162,5.58,-15.58
147 I01163,I01163,5.01,-17.48
148 I01164,I01164,1.56,-12.77
149 I01165,I01165,3.23,-15.32
150 I01166,I01166,-6.69,-10.83
151 I01167,I01167,-9.47,-14.68
152 I01168,I01168,-8.32,-11.77
153 I01169,I01169,-9.69,-10.35
154 I01174,I01174,-6.53,-10.49
155 I01175,I01175,1.1,-13.07
156 I01176,I01176,-0.19,-18.33
157 I01210,I01210,1.78,-9.6
158 I01211,I01211,7.47,-16.83
159 I01213,I01213,6.3,-10.02
160 I01214,I01214,5.26,-16.49
161 I01215,I01215,3.87,-9.32
162 I01216,I01216,3.87,-16.49
163 I01217,I01217,6.79,-17.36
164 I01218,I01218,-2.07,-15.03
165 I01219,I01219,3.15,-15.32
166 I01220,I01220,-6.72,-10.34
167 I01221,I01221,-8.12,-8.17
168 I01222,I01222,-8.06,-13.98
169 I01223,I01223,-7.54,-16.53
170 I01224,I01224,-9.86,-15.48
171 I01225,I01225,-11.29,-14.6
172 I01226,I01226,-4.22,-17.48
173 I01227,I01227,-2.49,-6.68
174 I01229,I01229,-6.41,-18.34
175 I01230,I01230,-3.55,-13.95
176 I01267,I01267,13.69,-4.14
177 I01268,I01268,5.61,-14.72
178 I01269,I01269,6.3,-15.88
179 I01272,I01272,5.96,-16.82
180 I01273,I01273,4.19,-14.32
181 I01274,I01274,-0.32,-7.67
182 I01275,I01275,0.38,-16.69
183 I01276,I01276,-1.71,-15.37
184 I01277,I01277,-2.39,-8.47
185 I01278,I01278,2.55,-16.99
186 I01279,I01279,-9.76,-12.52
187 I01280,I01280,-9.26,-14.93
188 I01281,I01281,-8.18,-15.52
189 I01282,I01282,-8.53,-9.91
190 I01284,I01284,-6.92,-9.85
191 I01321,I01321,10.99,-45.23
192 I01322,I01322,7.93,-18.56
193 I01323,I01323,6,-10
194 I01324,I01324,6.52,-16.6
195 I01327,I01327,1.51,-16.49
196 I01328,I01328,4.9,-18.65
197 I01329,I01329,3.52,-16.49
198 I01330,I01330,3.5,-17.38
199 I01331,I01331,-1.29,-9.25
200 I01332,I01332,2.43,-17.26
201 I01333,I01333,-5.37,-9.09
202 I01334,I01334,-7.23,-15.46
203 I01335,I01335,-9.46,-16.55
204 I01336,I01336,-8.18,-9.26
205 I01337,I01337,-1.81,-17.36
206 I01338,I01338,-2.32,-16.42
207 I01340,I01340,-3.79,-16.31
208 I01385,I01385,4.94,-10.27
209 I01386,I01386,-2.25,-8.19
210 I01387,I01387,8.14,-16
211 I01388,I01388,6.98,-9.56
212 I01390,I01390,3.76,-16.61
213 I01391,I01391,-1.51,-13.51
214 I01392,I01392,-3.41,-10.83
215 I01393,I01393,-3.96,-17.69
216 I01395,I01395,8.08,-24.7
217 I01396,I01396,0.25,-9.79
218 I01397,I01397,3.64,-17.03
219 I01398,I01398,-3.99,-16.18
220 I01399,I01399,-5.35,-8.77
221 I01400,I01400,-3.99,-14.06
222 I01401,I01401,-4.26,-15.33
223 I01446,I01446,4.25,-1.78
224 I01447,I01447,5.73,-10.37
225 I01448,I01448,-1.8,-14.49
226 I01449,I01449,-1.16,-9.4
227 I01450,I01450,8.83,-17.25
228 I01453,I01453,-0.52,-18.17
229 I01454,I01454,-5.05,-2.19
230 I01455,I01455,-0.33,-15.73
231 I01460,I01460,6.45,-17.53
232 I01461,I01461,-1.36,-15.41
233 I01462,I01462,-1.99,-11.21
234 I01511,I01511,7.91,-9.94
235 I01512,I01512,6.32,-10.02
236 I01513,I01513,7.36,-10.49
237 I01514,I01514,0.46,-3.31
238 I01515,I01515,-9.24,-15.28
239 I01516,I01516,5.33,-16.02
240 I01517,I01517,5.4,-16.83
241 I01518,I01518,-1.22,-10.04
242 I01519,I01519,6.13,-10.28
243 I01520,I01520,8.44,-25.04
244 I01521,I01521,7.66,-16.71
245 I01522,I01522,1.39,-17.71
246 I01582,I01582,10.99,-12.79
247 I01583,I01583,6.13,-7.97
248 I01584,I01584,2.23,-9
249 I01585,I01585,4.86,-15.77
250 I01586,I01586,-9.08,-16.08
251 I01587,I01587,3.76,-14.34
252 I01588,I01588,5.32,-16.4
253 I01589,I01589,3.4,-8.05
254 I01590,I01590,-2.57,-8.18
255 I01591,I01591,4,-9.4
256 I01592,I01592,7.73,-15.63
257 I01593,I01593,0.36,-17.71
258 I01594,I01594,1.09,-17.7
259 I01643,I01643,5.43,-45.9
260 I01644,I01644,7.22,-8.52
261 I01645,I01645,9.33,-17.06
262 I01646,I01646,6.38,-14.09
263 I01647,I01647,4.3,-17.12
264 I01648,I01648,2.65,-17.64
265 I01649,I01649,-9.34,-15.25
266 I01650,I01650,3.29,-14.02
267 I01651,I01651,4.37,-10.56
268 I01652,I01652,7.13,-17.72
269 I01653,I01653,10.61,-15.54
