x,y,GRID,GID,Lon,Lat
-123.2083338,44.79166685,261,I00261,-123.208,44.792
-123.2083338,45.54166682,270,I00270,-123.208,45.542
-123.2083338,45.62500015,271,I00271,-123.208,45.625
-123.1250005,44.79166685,315,I00315,-123.125,44.792
-123.1250005,45.54166682,324,I00324,-123.125,45.542
-123.1250005,45.62500015,325,I00325,-123.125,45.625
-123.0416672,44.79166685,368,I00368,-123.042,44.792
-123.0416672,44.87500018,369,I00369,-123.042,44.875
-123.0416672,45.04166684,371,I00371,-123.042,45.042
-123.0416672,45.54166682,377,I00377,-123.042,45.542
-123.0416672,45.62500015,378,I00378,-123.042,45.625
-123.0416672,46.12500013,381,I00381,-123.042,46.125
-122.9583339,44.79166685,417,I00417,-122.958,44.792
-122.9583339,44.87500018,418,I00418,-122.958,44.875
-122.9583339,44.95833351,419,I00419,-122.958,44.958
-122.9583339,45.04166684,420,I00420,-122.958,45.042
-122.9583339,45.12500017,421,I00421,-122.958,45.125
-122.9583339,45.2083335,422,I00422,-122.958,45.208
-122.9583339,45.29166683,423,I00423,-122.958,45.292
-122.9583339,45.37500016,424,I00424,-122.958,45.375
-122.9583339,45.45833349,425,I00425,-122.958,45.458
-122.9583339,45.54166682,426,I00426,-122.958,45.542
-122.9583339,45.62500015,427,I00427,-122.958,45.625
-122.9583339,46.0416668,430,I00430,-122.958,46.042
-122.8750006,44.79166685,478,I00478,-122.875,44.792
-122.8750006,44.87500018,479,I00479,-122.875,44.875
-122.8750006,44.95833351,480,I00480,-122.875,44.958
-122.8750006,45.04166684,481,I00481,-122.875,45.042
-122.8750006,45.12500017,482,I00482,-122.875,45.125
-122.8750006,45.2083335,483,I00483,-122.875,45.208
-122.8750006,45.29166683,484,I00484,-122.875,45.292
-122.8750006,45.37500016,485,I00485,-122.875,45.375
-122.8750006,45.45833349,486,I00486,-122.875,45.458
-122.8750006,45.62500015,488,I00488,-122.875,45.625
-122.8750006,45.70833348,489,I00489,-122.875,45.708
-122.7916673,44.79166685,536,I00536,-122.792,44.792
-122.7916673,44.95833351,538,I00538,-122.792,44.958
-122.7916673,45.04166684,539,I00539,-122.792,45.042
-122.7916673,45.12500017,540,I00540,-122.792,45.125
